sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,budget_change_pct,priority,cpc_rate
06-08-2025 - IT - Douglas - Overlay,Adset 3,120232365027640628,120232364657620628,2025-08-07,9,7,77.78,33.33,0.2078,1.87,9,3,199.47,5.6,3.73,IT,Italy,2.9946508049995693,0.33333329629630043,1.9946513397586418,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
02-08-2025 - SE - Rituals - Overlay,Adset 1,120228731086530232,120228731086470232,2025-08-07,13,10,76.92,15.38,0.1669,2.17,9,2,148.85,5.4,3.23,SE,Sweden,2.4884781159087024,0.15384614201183525,1.4884785767379831,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - IT - Douglas - Overlay,Adset 1,120232364657970628,120232364657620628,2025-08-07,21,16,76.19,14.29,0.1019,2.14,20,3,142.99,5.2,3.06,IT,Italy,2.429905406586258,0.14285713605442207,1.4299058738757597,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
30-07-2025 - SE - Milwaukee - Creative 1,Adset #1,120230908587310153,120230908585800153,2025-08-07,5,4,80.0,40.0,0.516,2.58,5,2,109.3,5.4,2.82,SE,Sweden,2.093022444564944,0.399999920000016,1.0930228321616928,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
06-08-2025 - US - CeraVe - Overlay,Adset 2,120227953531840068,120227953199300068,2025-08-07,27,22,81.48,7.41,0.127,3.43,26,2,99.99,6.86,3.43,US,United States,1.999999416909791,0.07407407133058995,0.9999997084548955,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - US - Dove,Adset 3,120227949975420358,120227949643840358,2025-08-07,21,12,57.14,9.52,0.1767,3.71,20,2,85.36,6.88,3.17,US,United States,1.8544469395021725,0.09523809070294806,0.8544472090438789,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
02-08-2025 - SE - Rituals,Adset 2,120228731013320232,120228730572360232,2025-08-07,10,2,20.0,10.0,0.154,1.54,9,1,75.32,2.7,1.16,SE,Sweden,1.753245614775575,0.09999999000000101,0.7532462641258025,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - IT - Douglas - Overlay,Adset 4,120232365027660628,120232364657620628,2025-08-07,23,11,47.83,8.7,0.097,2.23,21,2,43.5,3.2,0.97,IT,Italy,1.4349769349879216,0.08695651795841226,0.4349773834182137,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - SE - Willys - Overlay,Adset 2,120231114652040255,120231114575270255,2025-08-07,9,5,55.56,11.11,0.25,2.25,8,1,20.0,2.7,0.45,SE,Sweden,1.1999994666669036,0.11111109876543349,0.19999991111115062,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - US - CeraVe - Overlay,Adset 5,120227953531880068,120227953199300068,2025-08-07,10,8,80.0,10.0,0.324,3.24,10,1,6.39,3.45,0.21,US,United States,1.0648144861683684,0.09999999000000101,0.0648147948102485,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
06-08-2025 - IT - Douglas,Adset 2,120232364533400628,120232364280140628,2025-08-07,1,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,IT,Italy,0.0,0.0,0.0,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
06-08-2025 - US - Dove,Adset 4,120227949975240358,120227949643840358,2025-08-07,2,2,100.0,50.0,0.0,0.0,2,1,0.0,3.45,3.45,US,United States,3450000.0000000005,0.499999750000125,3450000.0000000005,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
06-08-2025 - IT - Douglas,Adset 1,120232364280300628,120232364280140628,2025-08-07,15,10,66.67,6.67,0.12,1.8,13,1,-11.11,1.6,-0.2,IT,Italy,0.8888883950620028,0.06666666222222252,-0.11111104938275035,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - US - Dove - Overlay,Adset 2,120227950432440358,120227950091210358,2025-08-07,30,17,56.67,3.33,0.1483,4.45,25,1,-22.93,3.43,-1.02,US,United States,0.7707863436435183,0.033333332222222255,-0.22921343163743108,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
01-08-2025 - DE - Rituals - NEW,Adset 5,120231337370270045,120231337089130045,2025-08-07,1,0,0.0,0.0,1.04,1.04,1,0,-100.0,0.0,-1.04,DE,Germany,0.0,0.0,-0.9999990384624631,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
02-08-2025 - SE - Rituals,Adset 1,120228730572350232,120228730572360232,2025-08-07,4,1,25.0,0.0,0.1875,0.75,3,0,-100.0,0.0,-0.75,SE,Sweden,0.0,0.0,-0.9999986666684444,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
02-08-2025 - SE - Rituals - Overlay,Adset 2,120228731457700232,120228731086470232,2025-08-07,2,0,0.0,0.0,0.03,0.06,2,0,-100.0,0.0,-0.06,SE,Sweden,0.0,0.0,-0.9999833336111065,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
04-08-2025 - DE - Makita,Adset 2,120228282799060519,120228282799010519,2025-08-07,7,3,42.86,0.0,0.1443,1.01,5,0,-100.0,0.0,-1.01,DE,Germany,0.0,0.0,-0.9999990099019704,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,LOW
04-08-2025 - DE - Makita,Adset 4,120228282799030519,120228282799010519,2025-08-07,2,2,100.0,0.0,0.405,0.81,2,0,-100.0,0.0,-0.81,DE,Germany,0.0,0.0,-0.9999987654336229,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - DE - Parkside,Adset 3,23848335769340796,23848335749800796,2025-08-07,5,2,40.0,0.0,0.342,1.71,3,0,-100.0,0.0,-1.71,DE,Germany,0.0,0.0,-0.9999994152050204,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - SE - Rusta - Overlay,Adset 2,120228897437420232,120228897071150232,2025-08-07,5,2,40.0,0.0,0.24,1.2,5,0,-100.0,0.0,-1.2,SE,Sweden,0.0,0.0,-0.9999991666673612,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - SE - Rusta - Overlay,Adset 3,120228897437440232,120228897071150232,2025-08-07,6,5,83.33,0.0,0.1633,0.98,6,0,-100.0,0.0,-0.98,SE,Sweden,0.0,0.0,-0.999998979592878,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - SE - Willys,Adset 1,120231112854220255,120231112854210255,2025-08-07,5,5,100.0,0.0,0.164,0.82,5,0,-100.0,0.0,-0.82,SE,Sweden,0.0,0.0,-0.999998780489292,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
05-08-2025 - SE - Willys - Overlay,Adset 1 - Copy,120231114652080255,120231114575270255,2025-08-07,10,9,90.0,0.0,0.12,1.2,9,0,-100.0,0.0,-1.2,SE,Sweden,0.0,0.0,-0.9999991666673612,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder,Adset 1,120230244098160186,120230244098150186,2025-08-07,4,3,75.0,0.0,0.645,2.58,3,0,-100.0,0.0,-2.58,DE,Germany,0.0,0.0,-0.999999612403251,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder,Adset 5,120230244247960186,120230244098150186,2025-08-07,5,4,80.0,0.0,0.788,3.94,5,0,-100.0,0.0,-3.94,DE,Germany,0.0,0.0,-0.9999997461929578,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,HIGH
06-08-2025 - DE - Kinder - Overlay,Adset 1,120230244500390186,120230244500310186,2025-08-07,5,1,20.0,0.0,0.582,2.91,4,0,-100.0,0.0,-2.91,DE,Germany,0.0,0.0,-0.9999996563575063,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - DE - Kinder - Overlay,Adset 4,120230244678660186,120230244500310186,2025-08-07,2,2,100.0,0.0,0.53,1.06,2,0,-100.0,0.0,-1.06,DE,Germany,0.0,0.0,-0.9999990566046637,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - IT - Douglas,Adset 5,120232364533360628,120232364280140628,2025-08-07,9,5,55.56,0.0,0.15,1.35,6,0,-100.0,0.0,-1.35,IT,Italy,0.0,0.0,-0.999999259259808,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - IT - Douglas - Overlay,Adset 5,120232365027680628,120232364657620628,2025-08-07,3,3,100.0,0.0,0.1733,0.52,3,0,-100.0,0.0,-0.52,IT,Italy,0.0,0.0,-0.9999980769267751,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - US - CeraVe - Overlay,Adset 3,120227953531850068,120227953199300068,2025-08-07,6,4,66.67,0.0,0.1517,0.91,5,0,-100.0,0.0,-0.91,US,United States,0.0,0.0,-0.9999989011001087,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
06-08-2025 - US - CeraVe - Overlay,Adset 4,120227953531860068,120227953199300068,2025-08-07,9,7,77.78,0.0,0.2856,2.57,8,0,-100.0,0.0,-2.57,US,United States,0.0,0.0,-0.9999996108950929,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,0,6,STANDARD
