sub_id_6,sub_id_5,sub_id_2,sub_id_3,day,clicks,lp_clicks,lp_ctr,cr,cpc,cost,campaign_unique_clicks,conversions,roi_confirmed,revenue,profit,geo,country,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,suggestion,priority
01-08-2025 - SE - Milwaukee - NEW,Adset 1,120231097634280153,120231097634260153,2025-08-03,1,0,0.0,0.0,0.03,0.03,1,0,-100.0,0.0,-0.03,SE,Sweden,0.0,0.0,-0.9999666678,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - SE - Milwaukee - NEW - Overlay,Adset 5,120231099000430153,120231098701960153,2025-08-03,4,2,50.0,0.0,0.3925,1.57,4,0,-100.0,0.0,-1.57,SE,Sweden,0.0,0.0,-0.9999993631,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - UK - Dove - NEW,Adset 1,120233123433150400,120233123432860400,2025-08-03,8,5,62.5,0.0,0.2413,1.93,8,0,-100.0,0.0,-1.93,UK,United Kingdom,0.0,0.0,-0.9999994819,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
01-08-2025 - US - Aldi - NEW,Adset 2,120229856581750075,120229856129820075,2025-08-03,9,8,88.89,0.0,0.2589,2.33,9,0,-100.0,0.0,-2.33,US,United States,0.0,0.0,-0.9999995708,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - DE - Xiaomi - NEW,Adset 3,120231347645210210,120231346904230210,2025-08-03,4,2,50.0,0.0,1.09,4.36,3,0,-100.0,0.0,-4.36,DE,Germany,0.0,0.0,-0.9999997706,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - DE - Xiaomi - NEW,Adset 4,120231347645270210,120231346904230210,2025-08-03,5,2,40.0,0.0,0.344,1.72,5,0,-100.0,0.0,-1.72,DE,Germany,0.0,0.0,-0.9999994186,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - DE - Xiaomi - NEW - Overlay,Adset 2,120231348255420210,120231348065890210,2025-08-03,1,0,0.0,0.0,0.42,0.42,1,0,-100.0,0.0,-0.42,DE,Germany,0.0,0.0,-0.9999976191,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - DE - Xiaomi - NEW - Overlay,Adset 4,120231348255240210,120231348065890210,2025-08-03,1,1,100.0,0.0,0.26,0.26,1,0,-100.0,0.0,-0.26,DE,Germany,0.0,0.0,-0.9999961539,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - DE - Xiaomi - NEW - Overlay,Adset 5,120231348255350210,120231348065890210,2025-08-03,8,4,50.0,0.0,0.3088,2.47,7,0,-100.0,0.0,-2.47,DE,Germany,0.0,0.0,-0.9999995951,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
02-08-2025 - SE - Rituals - Overlay,Adset 2,120228731457700232,120228731086470232,2025-08-03,7,3,42.86,0.0,0.1786,1.25,4,0,-100.0,0.0,-1.25,SE,Sweden,0.0,0.0,-0.9999992,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #2,120231940002470400,120231939970540400,2025-08-03,7,4,57.14,0.0,0.2414,1.69,7,0,-100.0,0.0,-1.69,UK,United Kingdom,0.0,0.0,-0.9999994083,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
23-07-2025 - UK - Lenor - Woman - Creative 2,Adset #4,120231940045730400,120231939970540400,2025-08-03,1,0,0.0,0.0,0.09,0.09,1,0,-100.0,0.0,-0.09,UK,United Kingdom,0.0,0.0,-0.999988889,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
25-07-2025 - US - Aldi - Creative 3,MV25-64 - Adset 3,120229247264640075,120229247263590075,2025-08-03,10,5,50.0,0.0,0.245,2.45,5,0,-100.0,0.0,-2.45,US,United States,0.0,0.0,-0.9999995918,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Aldi - Creative 1,Adset #1,120232289103930596,120232289101860596,2025-08-03,13,9,69.23,0.0,0.2869,3.73,12,0,-100.0,0.0,-3.73,DE,Germany,0.0,0.0,-0.9999997319,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - DE - Aldi - Overlay - Creative 2,Adset #1,120232289278430596,120232289277590596,2025-08-03,6,2,33.33,0.0,0.4833,2.9,6,0,-100.0,0.0,-2.9,DE,Germany,0.0,0.0,-0.9999996552,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Creative 5,Adset #1,120230909029540153,120230909028590153,2025-08-03,12,4,33.33,0.0,0.2983,3.58,10,0,-100.0,0.0,-3.58,SE,Sweden,0.0,0.0,-0.9999997207,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Creative 6,Adset #1,120230909257760153,120230909256960153,2025-08-03,7,1,14.29,0.0,0.6829,4.78,7,0,-100.0,0.0,-4.78,SE,Sweden,0.0,0.0,-0.9999997908,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Overlay - Creative 3,Adset #1,120230909762630153,120230909762360153,2025-08-03,8,4,50.0,0.0,0.4438,3.55,8,0,-100.0,0.0,-3.55,SE,Sweden,0.0,0.0,-0.9999997183,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Overlay - Creative 5,Adset #1,120230909840240153,120230909839290153,2025-08-03,12,4,33.33,0.0,0.2767,3.32,11,0,-100.0,0.0,-3.32,SE,Sweden,0.0,0.0,-0.9999996988,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
30-07-2025 - SE - Milwaukee - Overlay - Creative 6,Adset #1,120230909857850153,120230909857230153,2025-08-03,10,4,40.0,0.0,0.364,3.64,9,0,-100.0,0.0,-3.64,SE,Sweden,0.0,0.0,-0.9999997253,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
31-07-2025 - DE - Kinder - Overlay - Creative 5,Adset #1,120229997692580186,120229997690890186,2025-08-03,8,5,62.5,0.0,0.4413,3.53,8,0,-100.0,0.0,-3.53,DE,Germany,0.0,0.0,-0.9999997167,-1,KEEP_RUNNING,Insufficient spend (<$5),Wait for more data before making changes,6
